Symbol
AAPL
MSFT
AMZN
TSLA
BRK.B
UNH
GOOGL
XOM
JNJ
GOOG
JPM
NVDA
CVX
V
PG
HD
LLY
MA
PFE
ABBV
BAC
MRK
PEP
KO
COST
META
MCD
WMT
TMO
CSCO
DIS
AVGO
WFC
COP
ABT
BMY
ACN
DHR
VZ
NEE
LIN
CRM
TXN
AMGN
RTX
HON
PM
ADBE
CMCSA
T  
