,Ticker
0,CCL
1,TSLA
2,BAC
3,AMD
4,AAPL
5,AMZN
6,NVDA
7,AAL
8,F
9,T
10,INTC
11,NCLH
12,WFC
13,META
14,MSFT
15,CRM
16,GOOGL
17,GOOG
18,WBD
19,C
20,JPM
21,CL
22,NFLX
23,MU
24,CMCSA
25,USB
26,JNJ
27,OXY
28,TFC
29,MRO
30,LUMN
31,PCG
32,FCX
33,XOM
34,DAL
35,HBAN
36,SCHW
37,CSX
38,UAL
39,RCL
40,VZ
41,KO
42,TWTR
43,CSCO
44,PFE
45,KMI
46,PYPL
